block_id,block_code,block_name,vehicle_type,max_capacity
656019,6-05,AP,bus_regular,80
656026,6-06,AP,bus_regular,80
656025,6-07,AP,bus_regular,80
656022,6-08,AP,bus_regular,80
656024,6-09,AP,bus_regular,80
634813,7-01,AP,bus_minibus,23
659127,8-01,AP,bus_regular,80
659129,8-02,AP,bus_articulated,150
659126,8-03,AP,bus_articulated,150
659128,8-04,AP,bus_articulated,150
659119,8-05,AP,bus_articulated,150
659121,8-06,AP,bus_articulated,150
659124,8-07,AP,bus_articulated,150
659117,8-08,AP,bus_articulated,150
659118,8-09,AP,bus_articulated,150
659120,8-10,AP,bus_articulated,150
659123,8-11,AP,bus_articulated,150
659130,8-12,AP,bus_articulated,150
659122,8-13,AP,bus_articulated,150
659125,8-14,AP,bus_articulated,150
659131,8-15,AP,bus_articulated,150
659132,8-16,AP,bus_articulated,150
659139,8-01,AP,bus_articulated,150
659136,8-02,AP,bus_articulated,150
659137,8-03,AP,bus_articulated,150
659133,8-04,AP,bus_articulated,150
659134,8-05,AP,bus_articulated,150
659140,8-06,AP,bus_articulated,150
659138,8-07,AP,bus_articulated,150
659135,8-08,AP,bus_articulated,150
659147,8-01,AP,bus_articulated,150
659144,8-02,AP,bus_articulated,150
659145,8-03,AP,bus_articulated,150
659141,8-04,AP,bus_articulated,150
659142,8-05,AP,bus_articulated,150
659148,8-06,AP,bus_articulated,150
659146,8-07,AP,bus_articulated,150
659143,8-08,AP,bus_articulated,150
651618,9-01,AP,bus_regular,80
651613,9-02,AP,bus_regular,80
651616,9-03,AP,bus_regular,80
651617,9-04,AP,bus_regular,80
651610,9-05,AP,bus_regular,80
651612,9-06,AP,bus_regular,80
651611,9-07,AP,bus_regular,80
651614,9-08,AP,bus_regular,80
651615,9-09,AP,bus_regular,80
651619,9-10,AP,bus_regular,80
634824,9-01,AP,bus_regular,80
634825,9-02,AP,bus_regular,80
634826,9-03,AP,bus_regular,80
634828,9-04,AP,bus_regular,80
634829,9-05,AP,bus_regular,80
634830,9-06,AP,bus_regular,80
634827,9-07,AP,bus_regular,80
634831,9-08,AP,bus_regular,80
634832,9-01,AP,bus_regular,80
634833,9-02,AP,bus_regular,80
634834,9-03,AP,bus_regular,80
634836,9-04,AP,bus_regular,80
634837,9-05,AP,bus_regular,80
634838,9-06,AP,bus_regular,80
634835,9-07,AP,bus_regular,80
653638,11-01,AP,bus_regular,80
653653,11-01,AP,bus_regular,80
632647,10-01,AP,bus_articulated,150
632648,10-02,AP,bus_articulated,150
632650,10-03,AP,bus_articulated,150
632649,10-04,AP,bus_articulated,150
632653,10-05,AP,bus_articulated,150
632652,10-06,AP,bus_articulated,150
632646,10-08,AP,bus_regular,80
632651,10-07,AP,bus_articulated,150
632658,10-01,AP,bus_regular,80
632655,10-02,AP,bus_regular,80
632657,10-03,AP,bus_regular,80
632656,10-04,AP,bus_articulated,150
653637,11-03,AP,bus_regular,80
653639,11-04,AP,bus_regular,80
653640,11-02,AP,bus_regular,80
653652,11-03,AP,bus_regular,80
653654,11-04,AP,bus_regular,80
653655,11-02,AP,bus_regular,80
653682,11-01,AP,bus_regular,80
653681,11-02,AP,bus_regular,80
653683,11-03,AP,bus_regular,80
653684,11-04,AP,bus_regular,80
653694,11-01,AP,bus_regular,80
653693,11-02,AP,bus_regular,80
653695,11-03,AP,bus_regular,80
572422,11A-02,AP,bus_minibus,23
572423,11A-01,AP,bus_minibus,23
572425,11A-04,AP,bus_minibus,23
572424,11A-03,AP,bus_minibus,23
561170,11A-01,AP,bus_minibus,23
561171,11A-02,AP,bus_minibus,23
561172,11A-03,AP,bus_minibus,23
561173,11A-04,AP,bus_minibus,23
561174,11A-01,AP,bus_minibus,23
561175,11A-02,AP,bus_minibus,23
561176,11A-03,AP,bus_minibus,23
561177,11A-04,AP,bus_minibus,23
653642,12-01,Kautra,bus_regular,80
