route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-1130,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-1140,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-1150,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-1200,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-1220,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-1230,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-1240,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-1250,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-1310,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-1320,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-1330,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-05-5-251229-ab-1340,Maršrutinis taksi Melnragė,0,642158,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-1350,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-07-5-251229-ab-1410,Maršrutinis taksi Melnragė,0,642165,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-08-5-251229-ab-1420,Maršrutinis taksi Melnragė,0,642164,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-01-5-251229-ab-1430,Maršrutinis taksi Melnragė,0,642160,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-02-5-251229-ab-1440,Maršrutinis taksi Melnragė,0,642161,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-03-5-251229-ab-1450,Maršrutinis taksi Melnragė,0,642162,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-04-5-251229-ab-1510,Maršrutinis taksi Melnragė,0,642163,klaipeda_bus_M6_a-b,
klaipeda_bus_M6_TOKS,160185,AM6-06-5-251229-ab-1520,Maršrutinis taksi Melnragė,0,642159,klaipeda_bus_M6_a-b,
